total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
0.0,0.0,-0.0,,1,2022-12-23 23:00:00+00:00,2023-01-07 12:00:00+00:00,60,True,All checks passed,FTMO,-11.948507684185458,-16.781039736713865,99994.51277164118
-0.0,0.0,-0.05,,1,2023-01-10 11:00:00+00:00,2023-01-25 00:00:00+00:00,61,True,All checks passed,FTMO,-8.159862957128274,-27.205695436321548,99994.75662528838
-0.04,0.0,-0.05,,1,2023-01-27 23:00:00+00:00,2023-02-11 12:00:00+00:00,62,True,All checks passed,FTMO,-7.713773074821176,-26.103103615096188,99980.9454482706
0.04,0.0,-0.0,,1,2023-02-14 11:00:00+00:00,2023-03-01 00:00:00+00:00,63,True,All checks passed,FTMO,-2.9812405438776217,-3.3110989911365323,100044.4930408227
0.01,0.0,-0.0,,1,2023-03-03 23:00:00+00:00,2023-03-18 12:00:00+00:00,64,True,All checks passed,FTMO,-10.918500549908067,-22.709093283410766,99987.61388521033
0.03,0.0,-0.01,,1,2023-03-21 11:00:00+00:00,2023-04-05 00:00:00+00:00,65,True,All checks passed,FTMO,-6.241065249566848,-10.500072371753049,100023.44788514418
0.06,0.0,-0.01,,1,2023-04-07 23:00:00+00:00,2023-04-22 12:00:00+00:00,66,True,All checks passed,FTMO,-2.7400541655668262,-6.184092892537592,100042.4723924033
0.0,0.0,-0.01,,1,2023-04-25 11:00:00+00:00,2023-05-10 00:00:00+00:00,67,True,All checks passed,FTMO,-11.50452956115564,-23.6543964198936,99984.79163013591
-0.01,0.0,-0.05,,1,2023-05-12 23:00:00+00:00,2023-05-27 12:00:00+00:00,68,True,All checks passed,FTMO,-7.386498535890568,-23.228573878121097,99978.23193043402
-0.02,0.0,-0.04,,1,2023-05-30 11:00:00+00:00,2023-06-14 00:00:00+00:00,69,True,All checks passed,FTMO,-9.376760057217423,-13.193514100421453,100005.88229225068
-0.0,0.0,-0.02,,1,2023-06-16 23:00:00+00:00,2023-07-01 12:00:00+00:00,70,True,All checks passed,FTMO,-3.43039836072697,-6.275467523504631,99998.6943840608
0.01,0.0,-0.02,,1,2023-07-04 11:00:00+00:00,2023-07-19 00:00:00+00:00,71,True,All checks passed,FTMO,-5.8248212687922365,-9.092129440556164,99993.52761862086
0.01,0.0,-0.01,,1,2023-07-21 23:00:00+00:00,2023-08-05 12:00:00+00:00,72,True,All checks passed,FTMO,-5.185705202924635,-10.888756002605078,100001.1338287491
0.03,0.0,-0.03,,1,2023-08-08 11:00:00+00:00,2023-08-23 00:00:00+00:00,73,True,All checks passed,FTMO,-6.577656043681552,-17.83762447015033,99997.01457807311
0.02,0.0,-0.02,,1,2023-08-25 23:00:00+00:00,2023-09-09 12:00:00+00:00,74,True,All checks passed,FTMO,-9.556407818182604,-12.303439193827217,99995.25686422469
-0.01,0.0,-0.02,,1,2023-09-12 11:00:00+00:00,2023-09-27 00:00:00+00:00,75,True,All checks passed,FTMO,-7.29067875064793,-21.354332800634438,99982.70131568947
0.06,0.0,-0.0,,1,2023-09-29 23:00:00+00:00,2023-10-14 12:00:00+00:00,76,True,All checks passed,FTMO,-7.725551512132628,-14.408209022993105,100012.32250801231
-0.11,0.0,-0.11,,1,2023-10-17 11:00:00+00:00,2023-11-01 00:00:00+00:00,77,True,All checks passed,FTMO,-9.125426982469062,-28.658372569916537,99973.33252387276
0.01,0.0,-0.01,,1,2023-11-03 23:00:00+00:00,2023-11-18 12:00:00+00:00,78,True,All checks passed,FTMO,-4.625008013627835,-7.064722172479378,100008.57072110966
-0.0,0.0,-0.01,,1,2023-11-21 11:00:00+00:00,2023-12-06 00:00:00+00:00,79,True,All checks passed,FTMO,-3.1142672918595156,-4.621927778061945,100016.77807877869
0.01,0.0,-0.01,,1,2023-12-08 23:00:00+00:00,2023-12-23 12:00:00+00:00,80,True,All checks passed,FTMO,-11.434636765662026,-16.288595459525823,99998.76405788133
