,timestamp,close,regime,signal,signal_strength,position,action,entry_price,position_size,primary_reason,secondary_reason
6208,6208,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6209,6209,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6210,6210,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6211,6211,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6212,6212,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6213,6213,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6214,6214,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6215,6215,119.517,HIGH_VOLATILITY,-1,1.0,-1,SELL,119.517,0.03,"Combined Score Signal: MR=-1.00*1.00, MOM=0.00*0.00","Regime: HIGH_VOLATILITY, Final Score: 0.50 (threshold: 0.7)"
6216,6216,118.857,HIGH_VOLATILITY,0,0.0,-1,HOLD,119.517,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6217,6217,118.748,HIGH_VOLATILITY,0,0.0,-1,HOLD,119.517,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6218,6218,118.758,HIGH_VOLATILITY,0,0.0,-1,HOLD,119.517,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6219,6219,118.027,HIGH_VOLATILITY,1,1.0,0,EXIT_SIGNAL,,,"Combined Score Signal: MR=1.00*1.00, MOM=0.00*0.00","Regime: HIGH_VOLATILITY, Final Score: 0.50 (threshold: 0.7)"
6220,6220,116.827,HIGH_VOLATILITY,1,1.0,1,BUY,116.827,0.03,"Combined Score Signal: MR=1.00*1.00, MOM=-1.00*0.23","Regime: HIGH_VOLATILITY, Final Score: 0.50 (threshold: 0.7)"
6221,6221,116.038,HIGH_VOLATILITY,1,1.0,0,EXIT_DYNAMIC,,,"Combined Score Signal: MR=1.00*1.00, MOM=-1.00*0.24","Regime: HIGH_VOLATILITY, Final Score: 0.50 (threshold: 0.7)"
6222,6222,116.038,HIGH_VOLATILITY,1,0.8275370145319703,1,BUY,116.038,0.03,"Combined Score Signal: MR=1.00*0.83, MOM=-1.00*0.23","Regime: HIGH_VOLATILITY, Final Score: 0.41 (threshold: 0.7)"
6223,6223,116.038,HIGH_VOLATILITY,1,0.6852579406735299,0,EXIT_DYNAMIC,,,"Combined Score Signal: MR=1.00*0.69, MOM=-1.00*0.23","Regime: HIGH_VOLATILITY, Final Score: 0.34 (threshold: 0.7)"
6224,6224,116.038,HIGH_VOLATILITY,0,0.0,0,WAIT,,,"Signal too weak: MR=oversold: z=-1.77, rsi=11.1","MOM=, Score below 0.7 threshold"
6225,6225,116.038,HIGH_VOLATILITY,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6226,6226,116.038,HIGH_VOLATILITY,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6227,6227,116.038,HIGH_VOLATILITY,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6228,6228,116.038,HIGH_VOLATILITY,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
